,mCO3-2,gCO3-2,aCO3-2,mH+,gH+,aH+,mH2O,gH2O,aH2O,mCO2(aq),gCO2(aq),aCO2(aq),mHCO3-,gHCO3-,aHCO3-,mCl-,gCl-,aCl-,mNa+,gNa+,aNa+,mNaCO3-,gNaCO3-,aNaCO3-,mNaHCO3,gNaHCO3,aNaHCO3,mOH-,gOH-,aOH-,mNaOH,gNaOH,aNaOH,mNaCl,gNaCl,aNaCl,mDIC,I,pE,Eh,pH,logSI_CO2g,logSI_H2Og,logSI_O2g,logSI_CH4g,logSI_H2g,logSI_NaCl,T,pH_bo,salt_lvl
0,4.3915563966180836e-06,0.4149482573621214,1.8222686738841494e-06,1.209493999323156e-07,0.8267920308486872,9.999999999996938e-08,0.9977949260012304,1.0001274159835596,0.9979220610231176,0.0029138689042566305,1.0097055562829318,0.0029421496229079767,0.009748768714023102,0.7947716558549753,0.007748045053391321,0.04999940680973555,0.8141885427577333,0.04070894416916969,0.05975737638735563,0.8106292671401857,0.048441078227102335,5.245261447499001e-07,0.7912355796036874,4.1502374815847453e-07,0.0002463145386160835,1.0,0.0002463145386160835,1.4174058746906887e-08,0.8112117021364019,1.1498162322259687e-08,9.999881361947089e-17,1.0,9.999881361947089e-17,1.0,1.0,1.0,0.012667029174676351,0.059761888893152086,-11.934169365397164,-0.6468177790546921,7.000000000000132,-1.4232191987596703,-2.2107086527860513,-112.20276261247805,67.3769379669551,9.847331930758381,-4.2531255422110466,273.15,7.0,0.05
1,4.537619078328756e-06,0.4126882473973389,1.8726220647922226e-06,1.3988504901067617e-07,0.8251725109012377,1.1542929712968229e-07,0.9977947819899146,1.0001276475199805,0.997922148019285,0.002914202029951817,1.0097069303341035,0.002942489986036062,0.009756294741969217,0.7941489315419713,0.007747951045143409,0.04999940651480595,0.8134547028247922,0.04067225236791746,0.05976538132590858,0.8099118790211938,0.04840469229008479,7.248248066937117e-07,0.7897657013006432,5.724417717785618e-07,0.00023810894745657568,1.0,0.00023810894745657568,1.9891219076147146e-08,0.8100908147342776,1.6113693867454057e-08,9.99988130296116e-17,1.0,9.99988130296116e-17,1.0,1.0,1.0,0.012675034390999363,0.059770058830035916,-11.837735885316299,-0.6533355008319299,6.9376839488325155,-1.3392631161769255,-2.0581433003264573,-110.07154433335747,66.44615695618818,9.777212579480944,-4.258553180197526,278.15,7.0,0.05
2,4.708947283002752e-06,0.41016993495765003,1.9314686007882426e-06,1.5837391406723786e-07,0.8235565617265487,1.304298761363903e-07,0.9977946483995741,1.000127930173379,0.9979222964419405,0.002914632779496217,1.0097082043729153,0.0029429286301915635,0.009763115294068266,0.7935272152411006,0.007747297691379791,0.049999406133929704,0.8126745421096597,0.04063324448564623,0.05977280359704057,0.8091564131354347,0.048365547361630144,9.948276256734434e-07,0.7882988845345079,7.842215076224884e-07,0.00023041621641659265,1.0,0.00023041621641659265,2.782076497358991e-08,0.8089716974055162,2.2506211463804922e-08,9.999881226785914e-17,1.0,9.999881226785914e-17,1.0,1.0,1.0,0.012682457020847486,0.059777670918237616,-11.754785008659548,-0.6604193713667164,6.884622918151364,-1.261748129287093,-1.9114617392006714,-108.03072338202969,65.55336664525707,9.71354469282762,-4.263864556114686,283.15,7.0,0.05
3,4.897602271644058e-06,0.40793705804604286,1.997913462174093e-06,1.7588561925956823e-07,0.8219441564998976,1.4456815696276791e-07,0.9977945248102362,1.0001282592931193,0.9979225012306667,0.0029151758239852783,1.0097093823749177,0.002943480380750468,0.009769246811920885,0.7929065520958082,0.007746099806213156,0.04999940565461053,0.8118524434608221,0.04059213965228441,0.0597796663629394,0.8083664237797412,0.04832387511255541,1.355816095709997e-06,0.7868351905365427,1.0668038160004862e-06,0.00022319188681747414,1.0,0.00022319188681747414,3.8761388238969405e-08,0.8078544153258959,3.131355863301273e-08,9.99988113092212e-17,1.0,9.99988113092212e-17,1.0,1.0,1.0,0.012689320238177808,0.059784739850830305,-11.684069476490505,-0.6680382070247073,6.83992735557733,-1.1901393004851333,-1.7703545056059233,-106.07495938799205,64.6964645807117,9.6557744015256,-4.2690640506151505,288.15,7.0,0.05
4,5.108300510870278e-06,0.40544704073978277,2.0711453253418743e-06,1.919586964414379e-07,0.8203352906103212,1.574704930304653e-07,0.9977944109621582,1.0001286307900485,0.9979227580455463,0.0029158640634770394,1.009710466729109,0.0029441784644520384,0.009774665624067043,0.7922868340751609,0.0077443388814353855,0.049999405048167675,0.810992253457535,0.04054913017154956,0.05978598354165766,0.8075451929094344,0.0482798836124282,1.8344531997026625e-06,0.7853745278223693,1.4407328155287124e-06,0.00021639534320401615,1.0,0.00021639534320401615,5.377389795162193e-08,0.8067388733783866,4.338149385065581e-08,9.999881009633561e-17,1.0,9.999881009633561e-17,1.0,1.0,1.0,0.012695637988054953,0.05979128380086497,-11.624471271147113,-0.6761633921218662,6.802800812760655,-1.1239518689299315,-1.6345335559180147,-104.19932889599193,63.87351013540452,9.603405364502251,-4.274155939490677,293.15,7.0,0.05
5,5.332880147211124e-06,0.4032409235356733,2.15043551566647e-06,2.0621724140157784e-07,0.8187299637154862,1.688362345702214e-07,0.9977943067832179,1.0001290407143293,0.9979230628733189,0.002916724190025389,1.0097114579548052,0.002945049834362583,0.009779356247600712,0.7916681399954053,0.007742004770890501,0.049999404291817526,0.8100976680154677,0.04050440081896394,0.059791758159031747,0.8066956984072419,0.048233754107097015,2.463818828525276e-06,0.7839169903245831,1.931429440762573e-06,0.00020999045250638852,1.0,0.00020999045250638852,7.425773197374573e-08,0.8056251635426314,5.982389746565384e-08,9.999880858363514e-17,1.0,9.999880858363514e-17,1.0,1.0,1.0,0.012701413317773311,0.05979729725642038,-11.574992701852434,-0.6847689926609501,6.772534342158533,-1.062749095973005,-1.5037304552673099,-102.39928881753293,63.0827121655127,9.555993685841992,-4.279144267509168,298.15,7.0,0.05
6,5.633423660783196e-06,0.39634711758419466,2.2327912300820235e-06,2.186081087491644e-07,0.8167123805932136,1.7853994891351032e-07,0.9977942086390289,1.000129822399422,0.9979237446773237,0.0029178573994939946,1.0097123905487837,0.0029461967701235373,0.009783356455132206,0.790647129262374,0.007735182695800797,0.04999940329605219,0.8087594714798135,0.04043749098402122,0.059797191181715593,0.805410741473292,0.04816130008768575,3.281147427620147e-06,0.7820636132581137,2.5660660128771787e-06,0.0002037389062069298,1.0,0.0002037389062069298,1.0204389076302837e-07,0.8041031483447527,8.205381383189902e-08,9.999880659210424e-17,1.0,9.999880659210424e-17,1.0,1.0,1.0,0.012706847278286984,0.059803043213485126,-11.534507878615626,-0.6938174040114203,6.748264593828897,-1.006125145704439,-1.377694601477191,-100.6706286977331,62.32240310392427,9.513136026955605,-4.2844739247993475,303.15,7.0,0.05
7,5.900641356704038e-06,0.39312663468787246,2.31969927906114e-06,2.2874136084711252e-07,0.8147001445504364,1.8635561974680616e-07,0.9977941207775957,1.0001306351340074,0.9979244677462753,0.002919207758236175,1.0097132235019317,0.0029475626756404957,0.009786592515074825,0.7896285511820945,0.007727772868688064,0.049999402113405235,0.8073949675013418,0.04036926564443933,0.05980204370425797,0.804103761713814,0.048087048300767744,4.337016968935745e-06,0.7802156416807456,3.3838084773984835e-06,0.00019782909483032733,1.0,0.00019782909483032733,1.395174564319272e-07,0.8025848980082686,1.1197460354079137e-07,9.999880422681033e-17,1.0,9.999880422681033e-17,1.0,1.0,1.0,0.012711700914667704,0.05980817308697553,-11.502451590586602,-0.7033008354474992,6.729657506112569,-0.953735140468178,-1.2561921876864428,-99.00947346427525,61.591060042354215,9.474481183419517,-4.289707655246609,308.15,7.0,0.05
8,6.181504033118954e-06,0.3899313336411641,2.410362111542308e-06,2.3653003950160126e-07,0.8126933740433021,1.9222639586515185e-07,0.9977940436428304,1.0001314765211582,0.9979252301325209,0.0029208835243963427,1.0097139520748786,0.002949256846968632,0.009788881673143344,0.7886118222834297,0.00771962781437444,0.049999400649123595,0.8060063493317315,0.04029983438597472,0.0598062881120761,0.802777261971853,0.04801112821931223,5.689562831753034e-06,0.7783725144277449,4.4285993273462485e-06,0.00019223038386712252,1.0,0.00019223038386712252,1.8974895068186742e-07,0.8010698185637735,1.5200215749538981e-07,9.999880129824687e-17,1.0,9.999880129824687e-17,1.0,1.0,1.0,0.012715946701572806,0.05981270614614873,-11.478083394243024,-0.7131983650457194,6.716186976753451,-0.9052433340266046,-1.1390044380874877,-97.41220719419628,60.887246520352875,9.439701980807708,-4.294849417792372,313.15,7.0,0.05
9,6.470024071565791e-06,0.38702340200721846,2.5040507272459877e-06,2.41965982817076e-07,0.8106921379345263,1.9615991991740418e-07,0.9977939779382857,1.000132343652876,0.9979260296381438,0.0029229516760404723,1.009714568873,0.002951346891409817,0.009790119911058508,0.7875970544806334,0.007710669604961881,0.049999398846417804,0.804596285865144,0.040229330607317725,0.059809881323852884,0.801433403100886,0.047933636728435536,7.407811197461349e-06,0.7765343612952369,5.752419936816349e-06,0.00018691676030004666,1.0,0.00018691676030004666,2.5667301878229154e-07,0.799558021963241,2.0522497118890295e-07,9.999879769283573e-17,1.0,9.999879769283573e-17,1.0,1.0,1.0,0.012719541611170546,0.059816593313907256,-11.460747569043281,-0.723491480858723,6.707389724463048,-0.8603502433511618,-1.0259265496897054,-95.87547838849501,60.20963286190508,9.408506406673023,-4.299902810267331,318.15,7.0,0.05
