,mCO3-2,gCO3-2,aCO3-2,mH+,gH+,aH+,mH2O(aq),gH2O(aq),aH2O(aq),mCO2(aq),gCO2(aq),aCO2(aq),mHCO3-,gHCO3-,aHCO3-,mCl-,gCl-,aCl-,mNa+,gNa+,aNa+,mNaCO3-,gNaCO3-,aNaCO3-,mNaHCO3,gNaHCO3,aNaHCO3,mOH-,gOH-,aOH-,mNaOH,gNaOH,aNaOH,mNaCl,gNaCl,aNaCl,mDIC,I,pE,Eh,pH,logSI_CO2g,logSI_H2Og,logSI_O2g,logSI_CH4g,logSI_H2g,logSI_NaCl,T,pH_bo,salt_lvl
0,1.669560674756431e-05,0.3100867592095602,5.1770865893894805e-06,1.2731525422350989e-07,0.7854518345513584,9.999999999622837e-08,0.9951590051057183,1.0003437711912024,0.9955011121023394,0.008203773727877707,1.0213603051816063,0.008379008838346016,0.030181561781880133,0.7293289414231285,0.022012286504875387,0.09998928332862596,0.7649141956741924,0.07648322223335485,0.13020743624972972,0.7555654815404531,0.09838024427017492,3.312131667482278e-06,0.7229902988252719,2.394639064021658e-06,0.0014212064220461157,1.0,0.0014212064220461157,1.5109315528378333e-08,0.75915205255752,1.147026789610763e-08,9.998928332862569e-17,1.0,9.998928332862569e-17,1.0,1.0,1.0,0.038402031116505406,0.13022425917173167,-11.820009954959986,-0.6406304748480611,7.000000000016379,-0.9686913052188619,-2.2117635269225175,-111.74823471893727,66.92030032514135,9.619013109851512,-3.6715551091749754,273.15,7.0,0.1
1,1.7311967029399178e-05,0.30786518940130153,5.329752008415063e-06,1.4725323685502148e-07,0.7832226028652219,1.153320634499189e-07,0.9951582187718924,1.0003429936798616,0.9954995517513934,0.00820565486669983,1.0213679541498097,0.008380992923660638,0.03022311996690116,0.729018332610827,0.02203320852456728,0.09998927995058651,0.7644383473063202,0.07643563991377532,0.13025148883229956,0.7551195943121731,0.0983554514056026,4.591007693229013e-06,0.7210927591818772,3.3105424049357346e-06,0.0013758705163946798,1.0,0.0013758705163946798,2.1226296766340535e-08,0.7579337966848295,1.6088127697671428e-08,9.998927995058658e-17,1.0,9.998927995058658e-17,1.0,1.0,1.0,0.03844608680063039,0.13026894805256584,-11.723928957788212,-0.6470543921203447,6.938049937774247,-0.884682635724837,-2.059198893038345,-109.61696385290537,65.98946529031231,9.54886674654301,-3.6766445257406772,278.15,7.0,0.1
2,1.8188459986879847e-05,0.30272935696820075,5.506180796069986e-06,1.6674156171563666e-07,0.7810011907582964,1.3022535824881015e-07,0.9951574880639726,1.000342436521791,0.9954982663328195,0.008208248041257927,1.0213750618158044,0.008383699850539276,0.030260589259092453,0.7287090408777898,0.022051164975390003,0.09998927529401873,0.7638653823444151,0.07637834600280659,0.1302924235165674,0.7546028636613189,0.09831903589897513,6.319068794359729e-06,0.7192005068322936,4.544677479611649e-06,0.0013332016408376284,1.0,0.0013332016408376284,2.9716249769647113e-08,0.7567173609823385,2.2486802103979387e-08,9.998927529401903e-17,1.0,9.998927529401903e-17,1.0,1.0,1.0,0.03848702576033726,0.13031077871811594,-11.641274422651346,-0.6540420033587282,6.885304439153338,-0.8070921378122745,-1.9125179572802005,-107.57606739055485,65.0965982176232,9.485160479010682,-3.681674303891846,283.15,7.0,0.1
3,1.897859297013729e-05,0.3005627795712253,5.7042586554553795e-06,1.8521865327645586e-07,0.7787874164177844,1.4424595645755235e-07,0.9951568119020175,1.0003420758053532,0.9954972309699015,0.008211346931289084,1.0213816385299732,0.008386918983218108,0.030294581825749928,0.7284029005978284,0.022066661274274504,0.09998926973217782,0.763206027225006,0.07631241331742496,0.13033029999962142,0.7540212183595737,0.09827181159488328,8.635035577846824e-06,0.7173154333012072,6.194044287094537e-06,0.0012930018690555413,1.0,0.0012930018690555413,4.1438828816839614e-08,0.7555047361170877,3.130723143026756e-08,9.998926973217812e-17,1.0,9.998926973217812e-17,1.0,1.0,1.0,0.038524907350009144,0.13034946381124482,-11.570824768143899,-0.6615634259502604,6.840896352264332,-0.7353979981323407,-1.771411264495236,-105.62021808563927,64.2396097605803,9.42734699145989,-3.6866435977856296,288.15,7.0,0.1
4,1.9842916204637e-05,0.2984123451194167,5.921371158633798e-06,2.0220988384877668e-07,0.7765813411106701,1.5703242278511576e-07,0.9951561893803277,1.0003418959148986,0.995496429216163,0.008215286822222105,1.0213876931314305,0.008390992855762476,0.0303246533136372,0.7280988741348456,0.02207934593618876,0.09998926266306533,0.7624671903713958,0.07623853217001492,0.1303651692111533,0.7533809361457642,0.09821463322109963,1.1712079064815859e-05,0.7154365911274796,8.379249921147373e-06,0.0012550463078284252,1.0,0.0012550463078284252,5.753286050694524e-08,0.7542948993897786,4.339674322769239e-08,9.998926266306519e-17,1.0,9.998926266306519e-17,1.0,1.0,1.0,0.038559783052063944,0.13038521433724176,-11.511440211962599,-0.6695886875516008,6.804010668718827,-0.669102649281358,-1.6355907763450994,-103.74447967634336,63.41654647490177,9.37492353425088,-3.6915529711562303,293.15,7.0,0.1
5,2.0759456428852127e-05,0.29650394540291625,6.155260735574588e-06,2.1732717285305563e-07,0.7743830049175402,1.682944691641828e-07,0.9951556209241824,1.0003418801229942,0.9954958448502622,0.008220262517478335,1.021393221364705,0.008396120413190735,0.030350606737450925,0.7277970209502583,0.02208908116754962,0.09998925373842876,0.7616562682084786,0.07615744186336233,0.1303970066762705,0.7526874992689208,0.09814819686731482,1.5765114691718693e-05,0.7135641185115876,1.1249420168230329e-05,0.0012191440581515941,1.0,0.0012191440581515941,7.950001429734932e-08,0.7530879571719263,5.987050336232962e-08,9.998925373842911e-17,1.0,9.998925373842911e-17,1.0,1.0,1.0,0.038591628711358114,0.13041798345987227,-11.462113209359627,-0.6780911157622452,6.773930156459976,-0.6077630856271786,-1.5047880632900408,-101.94430280718711,62.625610939121415,9.327443072646348,-3.696402871617991,298.15,7.0,0.1
6,2.1616302127243905e-05,0.29586629339171894,6.3955351872231846e-06,2.3059170098149705e-07,0.7716496772177812,1.7793601163147124e-07,0.9951550794116135,1.000342992477808,0.9954964101181042,0.008226400767752195,1.0213984868933186,0.008402433296760123,0.030373945969567533,0.7269868918518289,0.02208146057369128,0.09998924273346578,0.760246632426888,0.07601648506703201,0.1304273309001257,0.7514173066192497,0.09800535369451009,2.1030872884736744e-05,0.7111986106607504,1.495712757660761e-05,0.0011835395885029017,1.0,0.0011835395885029017,1.093116541725896e-07,0.7513567659567684,8.213205096050153e-08,9.998924273346607e-17,1.0,9.998924273346607e-17,1.0,1.0,1.0,0.03862196303944697,0.1304491777939539,-11.421664772818504,-0.6870297272809812,6.749736148205519,-0.5509818212894024,-1.3787522596164308,-100.21548537331806,61.86514446323077,9.284506706608846,-3.7017987432281894,303.15,7.0,0.1
7,2.2691499451845408e-05,0.29292805349439954,6.646976765298313e-06,2.4155307064046655e-07,0.768927738017339,1.857368562187165e-07,0.995154597155919,1.0003442423994413,0.9954971715622591,0.0082343088392639,1.021403175136266,0.008410549193476773,0.030391974957153328,0.7261786829591204,0.022070004346912177,0.0999892285586989,0.7587783022867285,0.07586965709272922,0.1304543301419509,0.7501054082853954,0.09785449857372584,2.7835673912866297e-05,0.7088415769948038,1.973108299310927e-05,0.0011497168851270399,1.0,0.0011497168851270399,1.495063527780664e-07,0.7496294662139519,1.120743674286166e-07,9.998922855869885e-17,1.0,9.998922855869885e-17,1.0,1.0,1.0,0.038648975295869074,0.1304772631944734,-11.389526847034976,-0.6963962146493079,6.731101909592434,-0.4983738336160153,-1.2572498283168745,-98.55411215742309,61.1335834542412,9.245742889363003,-3.707137707282704,308.15,7.0,0.1
8,2.3816697151392398e-05,0.29002001745383915,6.907318923539618e-06,2.501128094083802e-07,0.7662173755216789,1.9164078040924305e-07,0.9951541781685818,1.0003456141338714,0.9954981175179378,0.008244194951229541,1.0214072465833575,0.008420680465431787,0.030404426653475158,0.725373471116518,0.022054564498938858,0.09998921084490568,0.7572581456458262,0.07571764438900282,0.13047777688397544,0.7487559753879803,0.09769601509721629,3.655274220504942e-05,0.706494167713748,2.5824299181811594e-05,0.0011175297552990713,1.0,0.0011175297552990713,2.033618960987349e-07,0.7479071800406613,1.5209582223892677e-07,9.998921084490598e-17,1.0,9.998921084490598e-17,1.0,1.0,1.0,0.03867243830185609,0.1305018436939362,-11.364971058998783,-0.7061700546743941,6.717512069254417,-0.44960874261920214,-1.140061997825202,-96.95657260278888,60.42949680947005,9.210827125366293,-3.7124206466810445,313.15,7.0,0.1
9,2.5245215211498382e-05,0.2841475387638991,7.1733657679122145e-06,2.5628104445929736e-07,0.7635189496345528,1.9567543387680885e-07,0.9951538271784114,1.0003470988638632,0.9954992439411942,0.008256751312396756,1.021410654791097,0.008433533764442423,0.030410089167173988,0.7245698930385664,0.022034235055152524,0.0999891883525034,0.7556899337979261,0.07556082312661166,0.1304974036254473,0.7473735067285701,0.09753030216652417,4.761691490191934e-05,0.7041551695419465,3.352969678582547e-05,0.0010868092307681793,1.0,0.0010868092307681793,2.7504148948135666e-07,0.7461884900311158,2.0523279373200266e-07,9.998918835250319e-17,1.0,9.998918835250319e-17,1.0,1.0,1.0,0.03869208569478225,0.13052290512170325,-11.347295498334246,-0.7163295041945235,6.708463694533274,-0.40436091335889807,-1.0269839659586566,-95.41948905850275,59.7515286993749,9.179454325407942,-3.717649746655261,318.15,7.0,0.1
