,mCO3-2,gCO3-2,aCO3-2,mH+,gH+,aH+,mH2O,gH2O,aH2O,mCO2(aq),gCO2(aq),aCO2(aq),mHCO3-,gHCO3-,aHCO3-,mCl-,gCl-,aCl-,mNa+,gNa+,aNa+,mNaCO3-,gNaCO3-,aNaCO3-,mNaHCO3,gNaHCO3,aNaHCO3,mOH-,gOH-,aOH-,mNaOH,gNaOH,aNaOH,mNaCl,gNaCl,aNaCl,mDIC,I,pE,Eh,pH,logSI_CO2g,logSI_H2Og,logSI_O2g,logSI_CH4g,logSI_H2g,logSI_NaCl,T,pH_bo,salt_lvl
0,6.457177668011839e-05,0.21762570507918355,1.4052478428226337e-05,1.5261780830898223e-07,0.7481690341038247,1.1418391822957394e-07,0.98907222073481,1.0008957757572952,0.9899582076523584,0.02185637614178163,1.048704389095883,0.022920877589616938,0.09142028458586494,0.6525843311044125,0.059659445265841715,0.19992937360216706,0.7160598769305782,0.1431614026563753,0.2914987109327626,0.6932074969266052,0.20206909176303242,2.004616335187856e-05,0.64178439132219,1.2865314745130567e-05,0.008496654356773768,1.0,0.008496654356773768,1.5645826808169753e-08,0.7049589775239754,1.1029666069204544e-08,9.996468680108368e-17,1.0,9.996468680108368e-17,1.0,1.0,1.0,0.11334123250432669,0.291563435327251,-11.623367000748765,-0.6299726607166104,6.942395058226462,-2.469033045965984,-4.1802460275805755,-113.12904767133939,64.24461948788237,7.3409370853945175,-3.1127677351985374,273.15,7.0,0.2
1,6.786869471262435e-05,0.21390211765461903,1.4517257521485199e-05,1.7555640561396066e-07,0.7450785712667037,1.3080331587156775e-07,0.9890688606492472,1.0008863028154282,0.989945475165093,0.0218676938140127,1.048738387000666,0.022933489937932126,0.09159640058538088,0.6531361049359364,0.0598249163044874,0.19992933284541675,0.7164577906124632,0.14324092808905106,0.2916894052041176,0.6936269723606858,0.20232363900142136,2.8087887302039417e-05,0.6394211009960155,1.795998782332203e-05,0.008297857201605065,1.0,0.008297857201605065,2.2052998292062468e-08,0.7039220261083757,1.5523591239513147e-08,9.99646664227083e-17,1.0,9.99646664227083e-17,1.0,1.0,1.0,0.1135319630941062,0.2917574494552358,-11.531309180692542,-0.6364235299556434,6.883381246482152,-2.3854470886550274,-4.028294769044065,-111.00335126171053,63.32328390298097,7.272964574939865,-3.1142363437395337,278.15,7.0,0.2
2,7.081789401126763e-05,0.21256040745698246,1.5053080406280444e-05,1.9788406553551156e-07,0.7420000819484948,1.468299928436508e-07,0.9890655516484949,1.0008778178301898,0.9899337710249583,0.021881575451825064,1.048771871836081,0.022948780845333017,0.09176742413425329,0.6536927186047795,0.0599876969616779,0.1999292828592118,0.716653463239181,0.14328001296397996,0.29187721504729036,0.6939126195088688,0.20253728286841868,3.903918468994725e-05,0.6370675166814371,2.4870596443692657e-05,0.008099021051396817,1.0,0.008099021051396817,3.0965178361865065e-08,0.7028889103162329,2.1765080476519116e-08,9.99646414296058e-17,1.0,9.99646414296058e-17,1.0,1.0,1.0,0.11371981748008962,0.29194823082536714,-11.452076092603138,-0.6434122689908073,6.833185222376172,-2.3083015762041037,-3.8821935857578964,-108.96710219547258,62.4381071321114,7.211002252991844,-3.1162424253306877,283.15,7.0,0.2
3,7.409472050144992e-05,0.2112281256253143,1.565088893025283e-05,2.1899865546398546e-07,0.7389349290351909,1.6182575593408238e-07,0.9890623520544287,1.0008702288068938,0.9899230626050007,0.021899611701380172,1.048804255144593,0.02296840593842185,0.09192779384533725,0.6542534550925871,0.06014407674235096,0.19992921791540486,0.7166626540558275,0.14328180393455994,0.2920588399628588,0.6940781156256943,0.20271164929324725,5.381447014321731e-05,0.6347230781781789,3.4157286139830585e-05,0.007902523395245692,1.0,0.007902523395245692,4.328962613466234e-08,0.7018581964996827,3.0383178926019635e-08,9.996460895770262e-17,1.0,9.996460895770262e-17,1.0,1.0,1.0,0.11390150026721887,0.29213315368201576,-11.384494862749804,-0.6509099891348588,6.79095235559238,-2.2370125196139656,-3.74163634971895,-107.01512462121299,61.58735813979865,7.154575174023028,-3.118661441447968,288.15,7.0,0.2
4,7.699102494762138e-05,0.21176553869334525,1.630404587258583e-05,2.3837054260025328e-07,0.7358842629103007,1.7541313104091596e-07,0.9890593097094671,1.0008634364621611,0.9899132995807102,0.021922249949749836,1.0488350531171549,0.022992824190493408,0.0920750589667877,0.6548208627442291,0.06029266954985768,0.19992913640631768,0.7165036784161053,0.1432499616576819,0.29223156700420905,0.6941344260245257,0.20284799102871434,7.35677190191622e-05,0.6323904714868963,4.652352451674348e-05,0.007709920791915388,1.0,0.007709920791915388,6.023273180443755e-08,0.7008322039444127,4.221303818009666e-08,9.996456820315912e-17,1.0,9.996456820315912e-17,1.0,1.0,1.0,0.11407429994148517,0.2923087963996992,-11.327530871140837,-0.658891189073404,6.755937899424032,-2.171078274699908,-3.6063377401366714,-105.14262731807314,60.76937220535962,7.103250391324192,-3.1214044053778722,293.15,7.0,0.2
5,8.07959700489825e-05,0.2104421119515625,1.7002874574283054e-05,2.5561424714402477e-07,0.7328488427099659,1.8732660519967784e-07,0.9890564594968213,1.0008573810057064,0.9899044577187652,0.021952196946648957,1.0488639153310366,0.02302486723958025,0.09220326720359266,0.6553920021581577,0.06042928389808619,0.19992902858467376,0.716187494358227,0.14318667003153188,0.2923934311029245,0.6940931838005207,0.20294828751658706,9.97156168410417e-05,0.630067128423113,6.28275323619745e-05,0.0075217469974676815,1.0,0.0075217469974676815,8.337196617995156e-08,0.6998074609040771,5.834432396297255e-08,9.996451429233705e-17,1.0,9.996451429233705e-17,1.0,1.0,1.0,0.1142362601202906,0.29247448268722065,-11.280165176224473,-0.6673271892029947,6.727400537249142,-2.1100038430483896,-3.476031578712888,-103.34511618513268,59.98250990674563,7.056606246196283,-3.124408548624882,298.15,7.0,0.2
6,8.594472242163994e-05,0.20606187809506094,1.770993091456183e-05,2.709275325719024e-07,0.7291406970863648,1.9754428995936553e-07,0.9890536127261449,1.0008548377280024,0.9898990930693204,0.021991407471289318,1.048892752470242,0.0230666279132553,0.09232075078378901,0.6553481623223814,0.06050223437037868,0.1999288874144665,0.7150549539119022,0.14296014137580923,0.2925551481630702,0.6933096600492673,0.20283131031860122,0.00013377667146861812,0.6271605583899375,8.389945197780579e-05,0.007325757041697582,1.0,0.007325757041697582,1.1477603528651623e-07,0.6981269349067645,8.012824171532629e-08,9.996444370723342e-17,1.0,9.996444370723342e-17,1.0,1.0,1.0,0.11439810297749997,0.29264136381302436,-11.241142256704908,-0.676171035708387,6.704335519133528,-2.0533532843118047,-3.3504681905496456,-101.61842968702986,59.225229765765555,7.014262932531537,-3.128425482883836,303.15,7.0,0.2
7,9.041361457977656e-05,0.20401061720487018,1.8445337314143475e-05,2.8368262522124183e-07,0.7254558774617644,2.0579922780053304e-07,0.9890510438979508,1.0008528725039074,0.9898945783382523,0.022040034257239504,1.0489187868149894,0.023118205994464472,0.0924138036278896,0.6553125271709287,0.06055992320087029,0.19992871235495058,0.7137977160271897,0.14270865824722068,0.2927011406893822,0.692446333929693,0.20267983180740204,0.00017792405515177555,0.6242735018097147,0.00011107327296578374,0.0071353544361726015,1.0,0.0071353544361726015,1.5710485591677542e-07,0.6964549080883673,1.0941644798775402e-07,9.996435617747563e-17,1.0,9.996435617747563e-17,1.0,1.0,1.0,0.11454425149970889,0.29279183798658726,-11.210054447452517,-0.6854226332721509,6.686556259129448,-2.0007679204432542,-3.229416416695662,-99.95873833778012,58.49610855137039,6.9758893911627196,-3.1326195980845366,308.15,7.0,0.2
8,9.50093254597022e-05,0.20206122838331225,1.9197701010257312e-05,2.938300242246924e-07,0.7217953618674461,2.1208514866278218e-07,0.9890487893834929,1.0008514367949817,0.9898909019148062,0.022101280039318223,1.0489416529182098,0.023182953216050694,0.09247637769931416,0.6552833884175455,0.06059823412738732,0.19992849187822614,0.7124253446519956,0.14243412473209893,0.2928293597865002,0.6915121506955731,0.20249506037277054,0.00023455164534768292,0.6214047584401742,0.0001457515085190223,0.0069501768999494585,1.0,0.0069501768999494585,2.1374271700123406e-07,0.69478936816154,1.4850616729441837e-07,9.996424593911321e-17,1.0,9.996424593911321e-17,1.0,1.0,1.0,0.11467266706409208,0.2929246629419841,-11.186112806409191,-0.6950565778908214,6.673489742042721,-1.9518631935601203,-3.1126589178741826,-98.36242274182989,57.7937487965132,6.94115527483782,-3.1369644902360396,313.15,7.0,0.2
9,9.974961258615392e-05,0.2000577061283164,1.99556786811742e-05,3.014066898104519e-07,0.7181602715329215,2.16458310196113e-07,0.9890468917358336,1.0008504764065513,0.9898880527822278,0.022177934846770244,1.0489609221561231,0.023263786988386537,0.09250327109567706,0.6552610830786839,0.06061379360647446,0.19992821594665594,0.7109487648613192,0.14213871818820215,0.2929374023942485,0.6905145555816323,0.2022775402275023,0.0003064285708974303,0.6185551713639609,0.00018954297718227375,0.006769843301814017,1.0,0.006769843301814017,2.889625355367488e-07,0.6931305030513827,2.0028874761958976e-07,9.996410797332819e-17,1.0,9.996410797332819e-17,1.0,1.0,1.0,0.11478095555503347,0.2930374534135245,-11.168611539300063,-0.7050495836353682,6.664625736240127,-1.9062946242263616,-2.9999921579835482,-96.82612144189753,57.11684337124725,6.909762325080446,-3.141439626475049,318.15,7.0,0.2
