,mCO3-2,gCO3-2,aCO3-2,mH+,gH+,aH+,mH2O,gH2O,aH2O,mCO2(aq),gCO2(aq),aCO2(aq),mHCO3-,gHCO3-,aHCO3-,mCl-,gCl-,aCl-,mNa+,gNa+,aNa+,mNaCO3-,gNaCO3-,aNaCO3-,mNaHCO3,gNaHCO3,aNaHCO3,mOH-,gOH-,aOH-,mNaOH,gNaOH,aNaOH,mNaCl,gNaCl,aNaCl,mDIC,I,pE,Eh,pH,logSI_CO2g,logSI_H2Og,logSI_O2g,logSI_CH4g,logSI_H2g,logSI_NaCl,T,pH_bo,salt_lvl
10,0.00010644913114400453,0.19380875469758563,2.0630773545659484e-05,2.7669994507243243e-07,0.7125297592876545,1.9715694525736748e-07,0.9890360123543471,1.0008595285561543,0.9898861170500308,0.02228252243071888,1.0490711135099158,0.023375950618203935,0.09301019486588578,0.6534388891375351,0.060776478411630086,0.19992783949129542,0.7075258660881342,0.14145411779120826,0.2935552778068131,0.6875458675733171,0.20183271816041143,0.000404223404915613,0.6139789462740048,0.0002481846602093784,0.006053608143693441,1.0,0.006053608143693441,3.984823734014705e-07,0.6896563482782099,2.7481589849329205e-07,9.99639197456477e-17,1.0,9.99639197456477e-17,1.0,1.0,1.0,0.11539916642774867,0.2936620036379022,-11.225841926153135,-0.7197996478729817,6.7051879194082975,0.07959000531149096,-0.9202800815660176,-93.49779770666632,58.6515807158431,8.927930804827634,-3.132959090292328,323.15,7.0,0.2
11,0.00011144426525637313,0.1911072466887663,2.1297806692398007e-05,2.8009590815336183e-07,0.7082272815218491,1.9837156359684911e-07,0.9890350821197246,1.0008624132116217,0.989888039041302,0.022400538637466355,1.0490806297823898,0.023499971181257958,0.09294089645477792,0.6527612067450469,0.060668211725787284,0.19992741473432596,0.7051466663628285,0.14097815001444858,0.2936086122347509,0.6857396613270216,0.20133907031655485,0.0005171611838648893,0.6105479277254491,0.000315751689108748,0.005886698543537652,1.0,0.005886698543537652,5.314271775216477e-07,0.6873067640197607,3.6525349369455885e-07,9.996370736716316e-17,1.0,9.996370736716316e-17,1.0,1.0,1.0,0.11545287935750065,0.2937203365959154,-11.218386712477004,-0.7304514614074592,6.702520583482728,0.11992344714524096,-0.8148575760710816,-92.0711665669625,58.020892798823496,8.902215630291275,-3.138860577792764,328.15,7.0,0.2
12,0.00011531158268651486,0.1901539394452447,2.192695171150687e-05,2.815803552427876e-07,0.7039631218468597,1.982221859274605e-07,0.9890346842508391,1.0008656144067365,0.9898908069222887,0.022542922719193274,1.0490847777952126,0.023649437071719525,0.0928183300153933,0.6520959605550042,0.06052645806849926,0.19992690231726223,0.702699718222694,0.14048857792347622,0.2936318405786178,0.6838907766699875,0.20081210750834894,0.0006555628149197526,0.6071493362025073,0.00039802452791757513,0.005724299631998748,1.0,0.005724299631998748,7.038460247065595e-07,0.6849725930230929,4.821152366322484e-07,9.996345115863127e-17,1.0,9.996345115863127e-17,1.0,1.0,1.0,0.1154765643172731,0.2937474337416595,-11.21571751155604,-0.7414048572437315,6.702847738919145,0.15777303228724995,-0.7130035807621972,-90.6959845176446,57.41256754917899,8.879183618791895,-3.1447824329654153,333.15,7.0,0.2
13,0.00012131229830055835,0.18544708052125708,2.2497011551162406e-05,2.814311443192998e-07,0.6997384771953258,1.9692820036132479e-07,0.9890348629675759,1.0008691440502742,0.989894476734238,0.022716503036145815,1.0490831154884812,0.023831499778163397,0.09262994808802791,0.6514348918966384,0.0603423802191157,0.19992627767098178,0.7001836416537768,0.13998510916195217,0.2936224830602262,0.6820070996477889,0.2002526180632869,0.0008229887317841528,0.6037763073905602,0.0004969010975006757,0.005565293884963959,1.0,0.005565293884963959,9.254039755048072e-07,0.6826450536573314,6.317224465131867e-07,9.996313883549125e-17,1.0,9.996313883549125e-17,1.0,1.0,1.0,0.11546776342247428,0.29374407678967107,-11.217198599740515,-0.7526314254507482,6.705692087902726,0.19345730203991768,-0.6145591982642035,-89.36961624015905,56.82548542029804,8.858583735432335,-3.150729403070296,338.15,7.0,0.2
14,0.00012576438916955644,0.18288438753268862,2.300034328669702e-05,2.798098995113563e-07,0.6955552402483373,1.9462324187848443e-07,0.9890356833891712,1.0008729149962272,0.9898990274690056,0.022921526422624496,1.0490749819981293,0.02404639991918444,0.09237548082833574,0.6507880439598139,0.06011685847811991,0.1999255399484924,0.6976168908021905,0.1394714335708164,0.2935768338918452,0.6800896018308066,0.19965855206825384,0.0010233562779208432,0.6004391018840727,0.0006144631244222185,0.005409468475699065,1.0,0.005409468475699065,1.2078686566488593e-06,0.6803347286111002,8.217549947190563e-07,9.996276997424648e-17,1.0,9.996276997424648e-17,1.0,1.0,1.0,0.11542277164012979,0.2937028780909143,-11.222467539853868,-0.7641188408876206,6.71080529758848,0.22714643453141845,-0.5193749858219057,-88.08972256358645,56.25872165589811,8.840248324411743,-3.15669980122376,343.15,7.0,0.2
15,0.0001298007005383116,0.18043646798950036,2.3420779947695793e-05,2.769641949655665e-07,0.6914149566990734,1.9149718686931102e-07,0.9890371945972124,1.0008769144781675,0.9899044956326009,0.023162603424850936,1.049059883273408,0.024298958045182357,0.0920464275157749,0.6501527720419343,0.05984424000593804,0.1999246725857417,0.6950032754471851,0.13894830228979654,0.293492120984138,0.6781430990679601,0.19902965647621204,0.0012601316988123887,0.5971362101988313,0.0007524702669802446,0.0052561043919258565,1.0,0.0052561043919258565,1.564746927358264e-06,0.6780388696415443,1.060959237901077e-06,9.996233629287082e-17,1.0,9.996233629287082e-17,1.0,1.0,1.0,0.11533883164116414,0.29362219864887124,-11.231051035767953,-0.7758456819249605,6.71783760151838,0.2590743202608626,-0.4273102128278476,-86.85403667779563,55.71133081107683,8.823986092756954,-3.1626969055879477,348.15,7.0,0.2
16,0.00013523378121173274,0.17528361140707305,2.3704265555026494e-05,2.7361899850896214e-07,0.686625597822001,1.8787380842667323e-07,0.9890392308435243,1.0008841758268896,0.9899137154232817,0.023442097894204966,1.0490394965680507,0.024591686573435738,0.09164802209524017,0.6488716572266211,0.05946780397848049,0.19992366712267667,0.6916501880672926,0.13827724196450214,0.29337774714341336,0.6754917933656421,0.19817426055147616,0.0015338520196515812,0.593265917358866,0.0009099821255313444,0.005095249106928205,1.0,0.005095249106928205,2.0119624200021184e-06,0.6750751324668567,1.3582257972012689e-06,9.996183356133827e-17,1.0,9.996183356133827e-17,1.0,1.0,1.0,0.11522535377065687,0.29351325454362365,-11.242192020111075,-0.7877687641244882,6.726133760871364,0.2894137757138462,-0.33823103366744117,-85.66047830374764,55.182470744320156,8.809644791885827,-3.169580134833514,353.15,7.0,0.2
17,0.00013871501163347018,0.17219666585912616,2.3886262507893452e-05,2.6939843308559066e-07,0.6818909914684684,1.8370036463678522e-07,0.9890420451197954,1.0008915940039085,0.9899238690768376,0.02376115526029169,1.0490112601695967,0.024925719422684026,0.09116810456936354,0.647608598140278,0.05904124839527178,0.19992251949694625,0.6882736952764927,0.13760141126314984,0.2932193455623826,0.6728207595892942,0.197284062807558,0.0018489933551333805,0.5894430288589821,0.0010898762435899519,0.0049367872173075806,1.0,0.0049367872173075806,2.5675161056565575e-06,0.6721361841495584,1.725720477998533e-06,9.996125974847336e-17,1.0,9.996125974847336e-17,1.0,1.0,1.0,0.11506797484128871,0.29335832997244915,-11.255999269322235,-0.7999034295508304,6.7358899816387385,0.31829596303636354,-0.2520136225017039,-84.50712463580061,54.67137287347945,8.79709699489213,-3.1764920825728393,358.15,7.0,0.2
18,0.00014033712659119958,0.17073283384435986,2.3960155316490163e-05,2.6446720683929203e-07,0.6772122612041198,1.7910043515797448e-07,0.9890456649433083,1.000899151123774,0.9899349664644058,0.024121747565163585,1.0489748948307542,0.025303107615301478,0.09060304652034036,0.6463633990129907,0.058562493109819314,0.19992122267621568,0.684879395093788,0.1369219260528971,0.29301534633355325,0.670132348891108,0.19635906229964556,0.0022074155924564696,0.5856681573829398,0.0012928130226123507,0.004780418190587361,1.0,0.004780418190587361,3.2517585651650726e-06,0.6692221164754071,2.1761487492468037e-06,9.9960611338108e-17,1.0,9.9960611338108e-17,1.0,1.0,1.0,0.11486513121209514,0.2931559479273513,-11.272187629689679,-0.8122370666185967,6.746903358950089,0.3458525642305858,-0.16853992839017715,-83.39215940442881,54.177304790064795,8.786222018205983,-3.183434002903672,363.15,7.0,0.2
19,0.00014416977074822293,0.16588330202605447,2.39153576240545e-05,2.5902010539002337e-07,0.6725894094237481,1.742141797131527e-07,0.9890500873734209,1.0009068990010301,0.9899470559096287,0.024528313955613036,1.0489304321148512,0.025728494956509917,0.08994452466763747,0.6451247964450094,0.05802544316755275,0.19991976074448672,0.6814605800075865,0.13623743611191586,0.29276592078506875,0.6674315442656714,0.1954012106179397,0.002609468199254962,0.5819317738390014,0.0015185324579689045,0.004625597347331823,1.0,0.004625597347331823,4.086652298508954e-06,0.666321685422188,2.7230250472769424e-06,9.995988037224354e-17,1.0,9.995988037224354e-17,1.0,1.0,1.0,0.11461700839399873,0.2929103495759223,-11.290414505823817,-0.8247517360821216,6.758916499612189,0.372244014303601,-0.0876984173723002,-82.31383666398443,53.69953715847885,8.776889952477395,-3.1904104867730325,368.15,7.0,0.2
